 #Line, #Time, #Iter	L2Norm MomentumX    L2Norm MomentumY    L2Norm ContiEq      L2Norm Total        
   134,    27,     3	1.717234E-006       3.836882E-007       1.028964E-013       1.759577E-006       
   135,    27,     4	7.708219E-009       1.295889E-009       4.719477E-014       7.816391E-009       
   136,    27,     5	4.869885E-011       6.653145E-012       7.401446E-014       4.915128E-011       
   137,    28,     1	2.138898E-001       4.097145E-001       1.131274E-003       4.621862E-001       
   138,    28,     2	2.271176E-004       2.805560E-005       7.222606E-014       2.288439E-004       
   139,    28,     3	8.037913E-007       3.589910E-007       7.215535E-014       8.803153E-007       
   140,    28,     4	3.035915E-009       7.658685E-010       9.254216E-014       3.131027E-009       
   141,    28,     5	6.535605E-011       3.960770E-012       5.237272E-014       6.547598E-011       
   142,    29,     1	2.060756E-001       4.117916E-001       1.127988E-003       4.604789E-001       
   143,    29,     2	2.154674E-004       2.690493E-005       9.519058E-014       2.171406E-004       
   144,    29,     3	7.393155E-007       3.431136E-007       6.650871E-014       8.150548E-007       
   145,    29,     4	2.740465E-009       7.264476E-010       8.941088E-014       2.835114E-009       
   146,    29,     5	1.260811E-010       3.774665E-012       3.976789E-014       1.261376E-010       
   147,    30,     1	1.841371E-001       3.410601E-001       1.141837E-003       3.875949E-001       
   148,    30,     2	2.088602E-004       2.588497E-005       2.104865E-014       2.104581E-004       
   149,    30,     3	7.068671E-007       3.293714E-007       2.060176E-014       7.798376E-007       
   150,    30,     4	2.591760E-009       6.929368E-010       3.981265E-014       2.682794E-009       
   151,    30,     5	2.291826E-011       3.380433E-012       2.568767E-014       2.316624E-011       
   152,    31,     1	1.813047E-001       3.362873E-001       1.165777E-003       3.820496E-001       
   153,    31,     2	2.031561E-004       2.485639E-005       2.973936E-014       2.046711E-004       
   154,    31,     3	6.822053E-007       3.172378E-007       2.238773E-014       7.523589E-007       
   155,    31,     4	2.470633E-009       6.664183E-010       3.431587E-014       2.558934E-009       
   156,    31,     5	1.737910E-011       3.181646E-012       3.774021E-014       1.766797E-011       
   157,    32,     1	1.809629E-001       3.408783E-001       1.220935E-003       3.859366E-001       
   158,    32,     2	1.979302E-004       2.391987E-005       3.392349E-014       1.993703E-004       
   159,    32,     3	6.624372E-007       3.065528E-007       4.429464E-014       7.299300E-007       
   160,    32,     4	2.367969E-009       6.455107E-010       5.035622E-014       2.454376E-009       
   161,    32,     5	3.359500E-011       3.065906E-012       2.945258E-014       3.373462E-011       
   162,    33,     1	2.029559E-001       4.117647E-001       1.465963E-003       4.590680E-001       
   163,    33,     2	1.936394E-004       2.306574E-005       1.202080E-013       1.950083E-004       
   164,    33,     3	6.471394E-007       2.973258E-007       1.352588E-013       7.121742E-007       
   165,    33,     4	2.296276E-009       6.305726E-010       7.443919E-014       2.381282E-009       
