2024-02-02 14:57:32,317 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Grid.Classic.GridCommons.GetFaceTagsNeigbourIndices new stack depth = 6
2024-02-02 14:57:32,317 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Comm.Permutation.Invert new stack depth = 7
2024-02-02 14:57:32,317 INFO  BoSSS.Foundation.Comm.Permutation: finished transmission.
2024-02-02 14:57:32,317 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Comm.Permutation.Invert (0.0002071 sec, return to stack depth = 6)
2024-02-02 14:57:32,318 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Comm.Permutation.EvaluatePermutation new stack depth = 7
2024-02-02 14:57:32,318 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Comm.Permutation.EvaluatePermutation (0.0001624 sec, return to stack depth = 6)
2024-02-02 14:57:32,318 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Grid.Classic.GridCommons.GetFaceTagsNeigbourIndices (0.0005876 sec, return to stack depth = 5)
2024-02-02 14:57:32,318 INFO  BoSSS.Foundation.Grid.Classic.GridCommons: r0: min Node 0 -- max Node 167 // Global No Of Nodes: 168
2024-02-02 14:57:32,318 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Grid.Classic.GridCommons.GetCellNeighbourship (0.0012431 sec, return to stack depth = 4)
2024-02-02 14:57:32,318 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Grid.Classic.GridData.ParallelSetup (0.0014821 sec, return to stack depth = 3)
2024-02-02 14:57:32,319 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Grid.Classic.GridData+CellData.Init new stack depth = 4
2024-02-02 14:57:32,319 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Grid.Classic.GridData+CellData.Init (0.0009153 sec, return to stack depth = 3)
2024-02-02 14:57:32,319 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Grid.Classic.GridData+EdgeData.CollectEdges new stack depth = 4
2024-02-02 14:57:32,320 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Grid.Classic.GridData+EdgeData.CollectEdges (0.0002461 sec, return to stack depth = 3)
